City,Pickup Location,Drop Location,Distance (km),Vehicle Type,Estimated Duration (min),Pickup Latitude,Pickup Longitude,Drop Latitude,Drop Longitude,Pickup Area Type,Drop Area Type,Weather Condition,Temperature Level,Rainfall Intensity,Traffic Level,Road Type,Number of Stops Added,Time Slot,Day Type,Holiday,Busy Day,Trip Date,Fare (Target)
Bangalore,Koramangala,Electronic City,30.98,Bike,104.0,12.9352,77.6146,12.8452,77.6602,Residential,IT Park,Clear,Pleasant,,High,City Road,2.0,Evening Rush,Weekend,No,Normal,4/6/2025,556
Hyderabad,Inorbit Mall HITEC City,Inorbit Mall HITEC City (nearby),291.55,Sedan,1599.7,17.4344,78.3821,17.425,78.3943,Mall,Mall,Clear,Warm,,Severe,City Road,0.0,Evening Rush,Weekday,Yes,Normal,1/27/2025,4346
Pune,Kalyani Nagar (nearby),Vanaz Metro Station,198.7,SUV,1033.9,18.5525,73.8911,18.5023,73.8074,Residential,Metro Station,Fog,Cold,,Severe,City Road,0.0,Evening Rush,Weekday,Yes,Normal,7/21/2025,3513
Bangalore,Jayanagar (nearby),Kempegowda Bus Station (Majestic),275.67,XL,791.1,12.9392,77.5819,12.9767,77.5713,Residential,Bus Stand,Storm,Cold,Moderate,Moderate,City Road,0.0,Late Night,Weekday,No,Normal,8/14/2025,5924
Delhi,Kashmere Gate ISBT,Dwarka,174.5,Auto,129.0,28.6675,77.2273,28.5921,77.046,Bus Stand,Residential,Heavy Rain,Cold,Heavy,High,Expressway,2.0,Night,Weekday,No,Normal,1/28/2025,2530
Bangalore,Mysore Palace Area,Byappanahalli Metro Station,99.31,Auto,67.6,12.2958,76.6394,12.9915,77.6376,Residential,Metro Station,Rain,Pleasant,Light,Low,Expressway,3.0,Night,Weekend,No,Normal,2/16/2025,1344
Pune,Savitribai Phule Pune University (nearby),Viman Nagar,327.82,Sedan,1143.4,18.5521,73.8189,18.5679,73.9143,College,Residential,Heavy Rain,Pleasant,Heavy,High,City Road,3.0,Late Night,Weekday,No,Major Event,2/7/2025,4863
Bangalore,Silk Board Junction,Kempegowda Bus Station (Majestic),319.97,Mini,224.1,12.9172,77.6228,12.9767,77.5713,Commercial,Bus Stand,Clear,Hot,,Low,Expressway,2.0,Evening Rush,Weekday,Yes,Normal,7/3/2025,4055
Bangalore,Christ University,Phoenix Marketcity Whitefield,278.18,Bike,241.6,12.9345,77.6069,12.9974,77.6963,College,Mall,Cloudy,Pleasant,,Low,Highway,1.0,Late Night,Weekday,No,Normal,11/3/2025,2429
Bangalore,Phoenix Marketcity Whitefield,RV College of Engineering,109.59,Comfort,124.2,12.9974,77.6963,12.9237,77.4989,Mall,College,Clear,Warm,,High,Highway,3.0,Morning Rush,Weekday,No,Normal,5/16/2025,1841
Hyderabad,MGBS Bus Station,HITEC City (nearby),236.5,SUV,275.2,17.3753,78.4936,17.4452,78.395,Bus Stand,IT Park,Heavy Rain,Pleasant,Moderate,High,Highway,0.0,Midday,Weekday,No,Normal,5/20/2025,4348
Mumbai,Andheri,Lilavati Hospital Bandra,145.03,SUV,330.0,19.1197,72.8468,19.0509,72.8259,Commercial,Hospital,Cloudy,Cold,,Low,City Road,0.0,Morning Rush,Weekday,Yes,Normal,6/24/2025,2657
Mumbai,Powai Tech Park,Malad,37.54,Auto,83.4,19.1176,72.906,19.1875,72.8489,IT Park,Residential,Clear,Very Hot,,Low,City Road,0.0,Late Night,Weekday,No,Normal,11/19/2025,553
Chennai,Pondicherry City Centre,T Nagar,367.01,Mini,425.3,11.9416,79.8083,13.0418,80.2341,Residential,Commercial,Rain,Cold,Moderate,High,Highway,0.0,Midday,Weekday,Yes,Normal,3/18/2025,4803
Mumbai,Phoenix Marketcity Kurla,Mumbai University Kalina,55.59,Bike,196.4,19.0862,72.889,19.0728,72.8826,Mall,College,Rain,Pleasant,Moderate,High,City Road,6.0,Morning Rush,Weekday,No,Major Event,12/31/2025,1450
Mumbai,St. Xavier's College,Colaba,380.14,Sedan,1413.1,18.9467,72.8296,18.9067,72.8147,College,Commercial,Fog,Warm,,High,City Road,0.0,Evening Rush,Weekday,Yes,Normal,7/30/2025,5691
Chennai,Koyambedu (CMBT) Bus Stand,Apollo Hospital Greams Road,178.96,Comfort,361.8,13.07,80.1959,13.0604,80.2496,Bus Stand,Hospital,Clear,Pleasant,,Low,City Road,2.0,Night,Weekend,Yes,Normal,12/20/2025,2934
Delhi,JNU,Cyber City Gurgaon,74.87,Black,136.0,28.5383,77.1641,28.4949,77.0891,College,IT Park,Clear,Hot,,Moderate,Rural Road,0.0,Midday,Weekday,No,Normal,6/6/2025,2245
Chennai -> Vellore,"AG-DMS Metro Station, Chennai",Vellore City Centre,217.22,Sedan,157.2,13.0475,80.2437,12.9165,79.1325,Commercial,Residential,Rain,Cold,Moderate,Moderate,Expressway,0.0,Morning Rush,Weekend,No,Normal,11/1/2025,3280
Pune,Phoenix Marketcity Mall,Koregaon Park (nearby),349.31,Auto,1822.5,18.561,73.9169,18.5221,,Mall,Residential,Rain,Cold,Light,Severe,City Road,1.0,Morning Rush,Weekday,No,Normal,10/6/2025,3855
Hyderabad,Kukatpally,Inorbit Mall HITEC City,293.16,Auto,253.1,17.4849,78.4138,17.4344,78.3821,Residential,Mall,Clear,Pleasant,,Low,Highway,0.0,Late Night,Weekend,Yes,Normal,6/29/2025,3384
Chennai,Apollo Hospital Greams Road,Koyambedu (CMBT) Bus Stand,322.82,Bike,737.5,13.0604,80.2496,13.07,80.1959,Hospital,Bus Stand,Clear,Pleasant,,Low,City Road,1.0,Midday,Weekday,No,Normal,12/1/2025,2853
Pune,Phoenix Marketcity Mall (nearby),Koregaon Park,263.85,XL,276.4,18.5544,73.9268,18.5362,73.8938,Mall,Residential,Cloudy,Pleasant,,High,Highway,2.0,Morning Rush,Weekday,No,Normal,8/14/2025,5411
Chennai,Chennai International Airport (nearby),Pondicherry City Centre,277.22,Bike,896.0,12.9908,80.1721,11.9416,79.8083,Airport,Residential,Cloudy,Cold,,High,City Road,0.0,Morning Rush,Weekday,Yes,Normal,9/24/2025,2857
Delhi,Kashmere Gate ISBT (nearby),Select Citywalk Mall Saket,339.83,Sedan,371.0,28.6699,77.2166,28.5285,77.219,Bus Stand,Mall,Clear,Warm,,High,Highway,0.0,Midday,Weekday,Yes,Normal,9/5/2025,4868
Pune,Koregaon Park,Koregaon Park (nearby),100.62,Auto,241.8,18.5362,73.8938,18.5221,,Residential,Residential,Cloudy,Very Hot,,Moderate,City Road,0.0,Midday,Weekday,No,Normal,2/21/2025,1175
Mumbai,Chhatrapati Shivaji Maharaj Terminus,Chhatrapati Shivaji Maharaj Terminus (nearby),196.28,Bike,477.0,18.9398,72.8355,18.9296,72.8438,Railway Station,Railway Station,Cloudy,Pleasant,,Moderate,City Road,0.0,Late Night,Weekend,Yes,Normal,12/7/2025,1922
Chennai,AG-DMS Metro Station,Chennai Central Railway Station,89.26,Comfort,295.7,13.0475,80.2437,13.0827,80.2707,Metro Station,Railway Station,Clear,Warm,,High,City Road,1.0,Morning Rush,Weekday,Yes,Major Event,5/2/2025,1845
Bangalore,RV College of Engineering,Tumkur City Centre,395.08,Bike,386.3,12.9237,77.4989,13.3379,77.1173,College,Residential,Clear,Pleasant,,Moderate,Highway,1.0,Evening Rush,Weekday,Yes,Normal,2/28/2025,3308
Mumbai -> Pune,Malad,Viman Nagar,377.68,SUV,405.0,19.1875,72.8489,18.5679,73.9143,Residential,Residential,Clear,Pleasant,,High,Highway,0.0,Evening Rush,Weekday,No,Normal,6/3/2025,6629
Bangalore,Jayanagar (nearby),Hebbal,16.73,Mini,61.9,12.9392,77.5819,13.0358,77.597,Residential,Residential,Clear,Pleasant,,High,City Road,2.0,Morning Rush,Weekend,No,Normal,9/6/2025,524
Delhi,JNU,Select Citywalk Mall Saket,282.52,Mini,620.4,28.5383,77.1641,28.5285,77.219,College,Mall,Clear,Hot,,Low,City Road,1.0,Evening Rush,Weekend,No,Normal,5/25/2025,3401
Delhi,Dwarka,Dwarka Sector 21 Metro,370.17,Auto,766.4,28.5921,77.046,28.5522,77.0585,Residential,Metro Station,Clear,Hot,,Low,City Road,0.0,Night,Weekday,No,Normal,4/30/2025,3887
Mumbai,Bandra,Phoenix Marketcity Kurla,73.05,Mini,69.6,19.0596,72.8295,19.0862,72.889,Residential,Mall,Cloudy,Very Hot,,Moderate,Highway,4.0,Midday,Weekday,No,Normal,4/15/2025,1093
Delhi,Select Citywalk Mall Saket,Select Citywalk Mall Saket (nearby),227.61,Comfort,461.3,28.5285,77.219,28.5337,77.2068,Mall,Mall,Clear,Pleasant,,Low,City Road,0.0,Late Night,Weekday,No,Normal,5/27/2025,3364
Pune -> Mumbai,Ghatkopar Metro Station,Hinjewadi IT Park Phase 2,366.28,XL,809.3,19.0857,72.9086,18.585,73.7307,Metro Station,IT Park,Cloudy,Pleasant,,Low,City Road,0.0,Midday,Weekday,Yes,Normal,1/31/2025,6811
Pune,FC Road,Hinjewadi IT Park Phase 2,14.54,Go,12.0,18.5236,73.8412,18.585,73.7307,Commercial,IT Park,Fog,Cold,,Low,Highway,0.0,Late Night,Weekday,No,Normal,9/8/2025,418
Bangalore,Malleswaram,Whitefield IT Park,279.27,Sedan,177.3,13.0037,77.573,12.9698,77.75,Residential,IT Park,Clear,Pleasant,,Low,Expressway,0.0,Midday,Weekday,Yes,Festival,2/5/2025,4248
Pune,Vanaz Metro Station,Pune Airport (Lohegaon),119.64,Mini,663.5,18.5023,73.8074,18.5793,73.9089,Metro Station,Airport,Clear,Warm,,Severe,City Road,1.0,Evening Rush,Weekday,No,Normal,6/24/2025,1752
Chennai,OMR IT Corridor Sholinganallur,Phoenix Marketcity Chennai,369.83,Go,773.3,12.901,80.2279,12.9909,80.2183,IT Park,Mall,Clear,Warm,,Low,City Road,0.0,Midday,Weekday,Yes,Normal,7/28/2025,3577
Pune,Phoenix Marketcity Mall,Pune Airport (Lohegaon),388.45,SUV,758.4,18.561,73.9169,18.5793,73.9089,Mall,Airport,Cloudy,Cold,,Low,City Road,0.0,Morning Rush,Weekend,Yes,Public Holiday,8/30/2025,7167
Delhi,Select Citywalk Mall Saket (nearby),Saket (nearby),377.76,Sedan,289.7,28.5408,77.233,28.5189,77.1967,Mall,Residential,Heavy Rain,Cold,Moderate,High,Expressway,0.0,Late Night,Weekday,Yes,Normal,9/17/2025,5961
Pune,Shivajinagar Bus Stand (nearby),Savitribai Phule Pune University (nearby),190.21,Auto,154.4,18.533,73.8612,18.5521,73.8189,Bus Stand,College,Cloudy,Warm,,Moderate,Expressway,3.0,Midday,Weekday,Yes,Normal,6/12/2025,2451
Bangalore,Koramangala 5th Block,Byappanahalli Metro Station,344.96,Sedan,400.4,12.9352,77.6146,12.9915,77.6376,Residential,Metro Station,Clear,Pleasant,,High,Highway,1.0,Late Night,Weekend,No,Normal,8/30/2025,4647
Chennai,Express Avenue Mall,Chennai International Airport,337.98,Sedan,346.0,13.0594,80.2599,12.9941,80.1709,Mall,Airport,Clear,Hot,,Moderate,Highway,3.0,Midday,Weekday,Yes,Festival,12/31/2025,4594
Pune,Fergusson College,Magarpatta Cybercity,128.32,Sedan,115.1,18.5236,73.838,18.5158,73.9291,College,IT Park,Cloudy,Cold,,Low,Highway,0.0,Night,Weekday,No,Normal,7/24/2025,1811
Chennai,Adyar (nearby),Apollo Hospital Greams Road,331.74,Auto,327.8,12.9972,80.2453,13.0604,80.2496,Residential,Hospital,Clear,Pleasant,,Moderate,Highway,1.0,Evening Rush,Weekend,Yes,Festival,,3764
Mumbai,Borivali Bus Depot,Chhatrapati Shivaji Maharaj Terminus,15.77,Sedan,15.5,19.2298,72.857,18.9398,72.8355,Bus Stand,Railway Station,Cloudy,Cold,,Low,Highway,0.0,Late Night,Weekend,Yes,Normal,12/13/2025,607
Pune -> Mumbai,Pune Railway Station,Mumbai Central Bus Depot,238.91,Mini,210.1,18.5285,73.8744,18.972,72.8194,Railway Station,Bus Stand,Clear,Pleasant,,High,Expressway,0.0,Morning,Weekday,Yes,Public Holiday,7/16/2025,3182
Delhi,Rohini (nearby),Delhi University North Campus (nearby),92.77,Mini,79.0,28.7601,77.0537,28.6738,77.2213,Residential,College,Clear,Warm,,Low,Highway,0.0,Late Night,Weekday,No,Normal,2/27/2025,1157
Delhi,Saket,Saket (nearby),49.11,Sedan,182.1,28.5245,77.2066,28.5189,77.1967,Residential,Residential,Clear,Cold,,High,City Road,1.0,Night,Weekend,Yes,Normal,11/1/2025,912
Mumbai,Chhatrapati Shivaji Maharaj Terminus,Infiniti Mall Malad,31.7,Auto,29.4,18.9398,72.8355,19.1759,72.8397,Railway Station,Mall,Heavy Rain,Cold,Heavy,Moderate,Highway,1.0,Late Night,Weekday,No,Normal,10/13/2025,895
Pune,FC Road,Fergusson College,278.82,Sedan,692.0,18.5236,73.8412,18.5236,73.838,Commercial,College,Cloudy,Pleasant,,Moderate,City Road,1.0,Morning Rush,Weekday,Yes,Normal,5/2/2025,4149
Pune,Fergusson College,Baner,136.61,Auto,296.5,18.5236,73.838,18.5596,73.7768,College,Residential,Rain,Pleasant,Light,Low,City Road,1.0,Morning,Weekend,No,Normal,4/6/2025,1703
Mumbai -> Pune,Magarpatta Cybercity,Bandra,290.18,Premium,997.3,18.5158,73.9291,19.0596,72.8295,IT Park,Residential,Clear,Hot,,High,City Road,2.0,Night,Weekday,No,Normal,3/5/2025,7132
Chennai,Chennai International Airport (nearby),Adyar (nearby),27.08,Sedan,61.5,12.9908,80.1721,12.9972,80.2453,Airport,Residential,Rain,Cold,Heavy,Low,City Road,0.0,Morning Rush,Weekday,No,Normal,12/30/2025,971
Hyderabad,HITEC City,Jubilee Hills (nearby),126.8,Sedan,115.0,17.4483,78.3915,17.428,78.4169,IT Park,Residential,Cloudy,Cold,,Moderate,Highway,0.0,Midday,Weekday,No,Normal,9/9/2025,1765
Mumbai,Ghatkopar Metro Station,Andheri Metro Station,216.26,Bike,455.1,19.0857,72.9086,19.1197,72.8468,Metro Station,Metro Station,Clear,,,Low,City Road,4.0,Night,Weekday,Yes,Normal,4/21/2025,1963
Hyderabad,Rajiv Gandhi Intl Airport (Shamshabad) (nearby),Banjara Hills (nearby),316.5,Bike,307.6,17.2329,78.442,17.4182,78.4231,Airport,Residential,Rain,Pleasant,Moderate,Low,Highway,2.0,Late Night,Weekday,No,Normal,10/22/2025,2935
Pune,Ruby Hall Clinic,Hinjewadi IT Park Phase 2,128.18,Auto,103.5,18.5362,73.8785,18.585,73.7307,Hospital,IT Park,Clear,Pleasant,,Moderate,Expressway,1.0,Morning Rush,Weekend,Yes,Major Event,1/11/2025,1966
Hyderabad,Gachibowli IT Park,Jubilee Hills,250.73,Mini,230.7,17.4401,78.3489,17.4326,78.4071,IT Park,Residential,Heavy Rain,Cold,Heavy,Moderate,Highway,0.0,Evening Rush,Weekday,Yes,Normal,12/11/2025,3735
Delhi,Cyber City Gurgaon,Cyber City Gurgaon (nearby),354.51,Bike,725.6,28.4949,77.0891,28.4876,77.0925,IT Park,IT Park,Rain,Pleasant,Light,Low,City Road,0.0,Late Night,Weekday,No,Normal,5/9/2025,3229
Delhi,Alwar City Centre,Rajiv Chowk Metro Station (nearby),246.73,Bike,274.1,27.553,76.6346,28.6394,77.2109,Residential,Metro Station,Cloudy,Pleasant,,High,Highway,0.0,Late Night,Weekday,No,Normal,,2402
Mumbai,Powai Tech Park,Andheri Metro Station (nearby),93.95,Mini,86.5,19.1176,72.906,19.1056,72.8366,IT Park,Metro Station,Cloudy,Hot,,Moderate,Highway,5.0,Morning Rush,Weekend,Yes,Festival,2/9/2025,1776
Bangalore,Silk Board Junction,Orion Mall,10.74,Sedan,8.2,12.9172,77.6228,13.0108,77.5551,Commercial,Mall,Cloudy,Pleasant,,Low,Expressway,2.0,Late Night,Weekday,No,Normal,6/30/2025,453
Hyderabad,Inorbit Mall HITEC City,Jubilee Hills,348.17,Bike,788.9,17.4344,78.3821,17.4326,78.4071,Mall,Residential,Clear,Pleasant,,Low,City Road,5.0,Morning,Weekday,Yes,Normal,12/25/2025,2847
Hyderabad,Inorbit Mall HITEC City (nearby),Osmania University,9.49,Premium,8.0,17.425,78.3943,17.4126,78.5277,Mall,College,Rain,Cold,Moderate,Low,Highway,4.0,Evening Rush,Weekday,No,Normal,1/9/2025,844
Bangalore,Mysore Palace Area,Indiranagar,350.01,Sedan,227.3,12.2958,76.6394,12.9719,77.6412,Residential,Residential,Cloudy,Cold,,Low,Expressway,1.0,Late Night,Weekday,No,Normal,1/7/2025,5010
,"Kashmere Gate ISBT, Delhi","Taj Mahal Area, Agra",212.05,XL,157.7,28.6675,77.2273,27.1751,78.0421,Commercial,Residential,Cloudy,Warm,,High,Expressway,0.0,Morning,Weekend,No,Normal,9/20/2025,3987
Bangalore,Jayanagar (nearby),Electronic City (nearby),375.69,Mini,398.7,12.9392,77.5819,12.8593,77.6646,Residential,IT Park,Clear,Warm,,Moderate,Highway,4.0,Midday,Weekday,No,Normal,1/2/2025,4554
Bangalore,Marathahalli (nearby),Malleswaram,319.71,SUV,243.2,12.9624,77.7007,13.0037,77.573,Commercial,Residential,Clear,Pleasant,,High,Expressway,2.0,Late Night,Weekday,Yes,Normal,10/17/2025,5915
Mumbai,Borivali (nearby),Borivali Bus Depot,399.18,Sedan,824.9,19.2348,72.844,19.2298,72.857,Residential,Bus Stand,Clear,Pleasant,,Low,City Road,0.0,Evening Rush,Weekday,Yes,Normal,10/15/2025,5432
Mumbai,Dadar Railway Station,Chhatrapati Shivaji Maharaj Terminus,140.93,Sedan,293.1,19.0186,72.844,18.9398,72.8355,Railway Station,Railway Station,Rain,Pleasant,Moderate,Low,City Road,0.0,Late Night,Weekday,No,Normal,10/8/2025,2367
Bangalore,MG Road Metro Station,Phoenix Marketcity Whitefield,307.11,XL,657.1,12.9757,77.608,12.9974,77.6963,Metro Station,Mall,Clear,Warm,,Low,City Road,2.0,Evening,Weekend,Yes,Normal,7/13/2025,5699
Mumbai,Chhatrapati Shivaji Maharaj Intl Airport,Colaba,161.37,Mini,133.4,19.0896,72.8656,18.9067,72.8147,Airport,Commercial,Cloudy,Very Hot,,Low,Highway,4.0,Morning,Weekend,Yes,Normal,3/9/2025,2299
Delhi,Noida Sector 62 IT Park,Max Hospital Saket,192.47,Bike,179.6,28.627,77.372,28.5273,77.215,IT Park,Hospital,Clear,Very Hot,,Moderate,Highway,2.0,Midday,Weekday,No,Normal,10/14/2025,1871
Mumbai,Powai Tech Park,Dadar Railway Station,251.37,Auto,295.5,19.1176,72.906,19.0186,72.844,IT Park,Railway Station,Clear,Hot,,High,Highway,0.0,Evening Rush,Weekday,No,Normal,11/5/2025,3165
Chennai,Tidel Park (nearby),Velachery,349.6,Auto,263.8,13.002,80.2548,12.9791,80.2211,IT Park,Residential,Cloudy,Warm,,Low,Expressway,4.0,Morning Rush,Weekday,Yes,Normal,8/7/2025,3931
Hyderabad,Gachibowli IT Park,Banjara Hills (nearby),393.65,Mini,408.3,17.4401,78.3489,17.4182,78.4231,IT Park,Residential,Clear,Warm,,Moderate,Highway,0.0,Evening Rush,Weekday,Yes,Public Holiday,12/24/2025,4796
Hyderabad,MGBS Bus Station,Osmania University,307.54,Bike,586.7,17.3753,78.4936,17.4126,78.5277,Bus Stand,College,Clear,Pleasant,,Low,City Road,0.0,Evening Rush,Weekday,Yes,Public Holiday,1/7/2025,2707
Pune,Sassoon General Hospital,Vanaz Metro Station,167.69,Comfort,145.9,18.5195,73.8664,18.5023,73.8074,Hospital,Metro Station,Clear,Very Hot,,Low,Highway,0.0,Midday,Weekend,Yes,Normal,6/29/2025,2503
Delhi,Alwar City Centre,Select Citywalk Mall Saket,169.12,Comfort,139.9,27.553,76.6346,28.5285,77.219,Residential,Mall,Fog,Cold,,High,Expressway,1.0,Late Night,Weekday,No,Major Event,9/26/2025,3157
Mumbai,Virar,Mumbai Central Bus Depot,295.3,Sedan,228.3,19.455,72.8112,18.972,72.8194,Residential,Bus Stand,Clear,Pleasant,,High,Expressway,0.0,Evening Rush,Weekday,Yes,Festival,10/20/2025,4788
Pune,Vanaz Metro Station,Baner,96.27,Auto,217.9,18.5023,73.8074,18.5596,73.7768,Metro Station,Residential,Cloudy,Warm,,Low,City Road,1.0,Late Night,Weekday,No,Normal,2/28/2025,1178
Hyderabad,Ameerpet Metro Station (nearby),Jubilee Hills (nearby),45.08,Sedan,97.1,17.4467,78.4532,17.428,78.4169,Metro Station,Residential,Cloudy,Cold,,Low,City Road,2.0,Morning Rush,Weekend,No,Normal,5/25/2025,826
Pune,Seasons Mall Magarpatta,Pune Railway Station,142.49,Premium,142.2,18.5155,73.9294,18.5285,73.8744,Mall,Railway Station,Clear,Warm,,High,Highway,0.0,Midday,Weekday,No,Normal,8/20/2025,3326
Pune,Viman Nagar,Kothrud,115.61,XL,112.2,18.5679,73.9143,18.5074,73.8077,Residential,Residential,Heavy Rain,Cold,Heavy,Low,Highway,0.0,Late Night,Weekday,Yes,Normal,5/27/2025,2726
Hyderabad,HITEC City (nearby),Kukatpally,119.23,Black,453.7,17.4452,78.395,17.4849,78.4138,IT Park,Residential,Cloudy,Warm,,High,City Road,2.0,Evening Rush,Weekend,Yes,Normal,4/26/2025,3811
Bangalore,MG Road Metro Station,Silk Board Junction,94.21,Black,227.4,12.9757,77.608,12.9172,77.6228,Metro Station,Commercial,Rain,Pleasant,Heavy,Moderate,City Road,0.0,Evening Rush,Weekend,Yes,Normal,3/29/2025,3258
Pune -> Mumbai,Vashi Navi Mumbai,Fergusson College,17.8,XL,37.6,19.0771,73.0053,18.5236,73.838,Residential,College,Rain,Cold,Light,Low,City Road,1.0,Evening Rush,Weekend,Yes,Normal,12/28/2025,877
Bangalore,KSR Bangalore City Railway Station,Marathahalli,8.13,Auto,7.0,12.9767,77.5713,12.9569,77.7011,Railway Station,Commercial,Heavy Rain,Pleasant,Heavy,Low,Highway,1.0,Late Night,Weekday,No,Normal,2/7/2025,628
Bangalore,Manyata Tech Park,MG Road,395.1,Bike,1354.6,13.045,77.62,12.9757,77.6079,IT Park,Commercial,Fog,Cold,,High,City Road,1.0,Evening,Weekend,No,Normal,8/24/2025,3442
Delhi,Alwar City Centre,Dwarka,171.68,Sedan,130.2,27.553,76.6346,28.5921,77.046,Residential,Residential,Clear,Very Hot,,High,Expressway,0.0,Midday,Weekday,Yes,Normal,10/30/2025,2745
Pune,Viman Nagar (nearby),Swargate Bus Stand (nearby),154.35,SUV,141.0,18.5672,73.9114,18.5076,73.8692,Residential,Bus Stand,Cloudy,Warm,,Low,Highway,2.0,Evening,Weekday,Yes,Normal,4/16/2025,2700
Chennai,Phoenix Marketcity Chennai (nearby),Pondicherry City Centre,272.18,Bike,239.0,12.9994,80.2172,11.9416,79.8083,Mall,Residential,Rain,Cold,Heavy,High,Expressway,0.0,Evening Rush,Weekday,No,Normal,11/24/2025,2894
Pune,Savitribai Phule Pune University (nearby),Sassoon General Hospital,88.08,Bike,95.7,18.5521,73.8189,18.5195,73.8664,College,Hospital,Clear,Pleasant,,High,Highway,1.0,Morning,Weekday,Yes,Normal,5/8/2025,1078
Mumbai -> Pune,St. Xavier's College,Juhu,380.03,Mini,314.9,18.9467,72.8296,19.1075,72.8263,College,Residential,Clear,Hot,,Low,Highway,2.0,Late Night,Weekday,Yes,Normal,12/26/2025,4668
Chennai,Adyar,Anna University (nearby),314.75,Auto,289.7,13.0064,80.2565,13.0078,80.2391,Residential,College,Rain,Pleasant,Light,Low,Highway,1.0,Night,Weekend,Yes,Public Holiday,5/4/2025,3680
Delhi,Noida Sector 62 IT Park,Karol Bagh,36.67,SUV,93.3,28.627,77.372,28.6519,77.1909,IT Park,Residential,Clear,Warm,,Moderate,City Road,0.0,Evening Rush,Weekend,Yes,Normal,8/31/2025,977
Delhi,Delhi University North Campus (nearby),Rajiv Chowk Metro Station,167.61,Sedan,144.6,28.6738,77.2213,28.6328,77.2197,College,Metro Station,Clear,Warm,,High,Expressway,1.0,Night,Weekday,No,Normal,10/7/2025,2660
Bangalore,MG Road Metro Station,Byappanahalli Metro Station,351.77,Sedan,729.5,12.9757,77.608,12.9915,77.6376,Metro Station,Metro Station,Cloudy,Pleasant,,Low,City Road,0.0,Morning Rush,Weekday,Yes,Normal,5/6/2025,5142
,Chhatrapati Shivaji Maharaj Intl Airport,Hadapsar,377.95,XL,249.1,19.0896,72.8656,18.5089,73.926,Airport,Commercial,Clear,Pleasant,,Low,Expressway,2.0,Late Night,Weekend,No,Normal,4/6/2025,6978
Bangalore,Manipal Hospital Old Airport Road,Marathahalli,187.49,Black,463.2,12.9583,77.6408,12.9569,77.7011,Hospital,Commercial,Cloudy,Cold,,Moderate,City Road,2.0,Late Night,Weekday,No,Normal,12/11/2025,5277
Bangalore,Whitefield IT Park,Electronic City,245.75,Sedan,1356.2,12.9698,77.75,12.8452,77.6602,IT Park,IT Park,Clear,Hot,,Severe,City Road,1.0,Evening Rush,Weekend,No,Normal,1/11/2025,3390
Delhi,DLF Mall of India Noida,Anand Vihar ISBT,67.65,Mini,135.7,28.5679,77.326,28.6469,77.3152,Mall,Bus Stand,Clear,Pleasant,,Low,City Road,1.0,Late Night,Weekend,Yes,Normal,10/5/2025,967
Mumbai,Borivali,Ghatkopar Metro Station,396.48,Bike,312.5,19.2307,72.8567,19.0857,72.9086,Residential,Metro Station,Fog,Very Hot,,Moderate,Expressway,0.0,Midday,Weekday,No,Normal,4/1/2025,3523
Delhi,Dwarka,Karol Bagh,93.44,Pool,463.1,28.5921,77.046,28.6519,77.1909,Residential,Residential,Clear,Warm,,Severe,City Road,1.0,Midday,Weekend,No,Normal,11/22/2025,821
Bangalore,Malleswaram,Manyata Tech Park,377.15,Mini,395.7,13.0037,77.573,13.045,77.62,Residential,IT Park,Clear,Pleasant,,High,Highway,2.0,Midday,Weekday,Yes,Normal,5/9/2025,4391
Hyderabad,Jubilee Hills,Osmania University,260.21,Auto,193.9,17.4326,78.4071,17.4126,78.5277,Residential,College,Clear,Cold,,Moderate,Expressway,3.0,Late Night,Weekday,No,Normal,8/12/2025,3051
Bangalore,Silk Board Junction,Hebbal (nearby),243.49,Auto,237.6,12.9172,77.6228,13.0485,77.5839,Commercial,Residential,Clear,Warm,,Low,Highway,2.0,Midday,Weekday,Yes,Normal,12/3/2025,2621
Bangalore,Hebbal,Kempegowda Bus Station (Majestic),205.56,Premium,269.5,13.0358,77.597,12.9767,77.5713,Residential,Bus Stand,Clear,Warm,,Severe,Highway,0.0,Evening Rush,Weekday,No,Normal,11/10/2025,5218
Delhi,Rajiv Chowk Metro Station,Dwarka Sector 21 Metro (nearby),93.04,Mini,86.5,28.6328,77.2197,28.5539,77.0629,Metro Station,Metro Station,Rain,Pleasant,Heavy,Moderate,Highway,1.0,Late Night,Weekday,No,Normal,3/11/2025,1672
Hyderabad,Rajiv Gandhi Intl Airport (Shamshabad),Ameerpet,71.43,Sedan,243.3,17.2403,78.4294,17.4374,78.4487,Airport,Commercial,Clear,Pleasant,,High,City Road,4.0,Morning Rush,Weekday,No,Normal,2/18/2025,1337
Delhi,JNU,Kashmere Gate ISBT,88.97,Black,62.3,28.5383,77.1641,28.6675,77.2273,College,Bus Stand,Cloudy,Pleasant,,Moderate,Expressway,1.0,Morning Rush,Weekday,No,Normal,7/25/2025,3090
Mumbai -> Pune,Virar,Ghatkopar Metro Station,75.39,Bike,52.9,19.455,72.8112,19.0857,72.9086,Residential,Metro Station,Clear,Hot,,Low,Expressway,1.0,Late Night,Weekend,Yes,Normal,8/16/2025,1022
Chennai,Anna University (nearby),Anna University,312.05,Sedan,336.4,13.0078,80.2391,13.0108,80.2353,College,College,Clear,Pleasant,,High,Highway,4.0,Late Night,Weekday,No,Normal,9/29/2025,4379
